LAT,LON,YEAR,MO,DY,T2M_RANGE,ALLSKY_SFC_SW_DWN
33.42011,-112.04149,2001,5,5,19,7.29
33.42011,-112.04149,2001,5,6,18.87,7.34
33.42011,-112.04149,2001,5,7,21.22,7.71
33.42011,-112.04149,2001,5,8,21.89,7.69
33.42011,-112.04149,2001,5,9,20.1,7.99
33.42011,-112.04149,2001,5,10,19.78,8
33.42011,-112.04149,2001,5,11,19.08,8
33.42011,-112.04149,2001,5,12,17.03,6.47
33.42011,-112.04149,2001,5,13,15.99,8.1
33.42011,-112.04149,2001,5,14,17.51,8.15
33.42011,-112.04149,2001,5,15,17.25,8.09
33.42011,-112.04149,2001,5,16,19.03,8.41
33.42011,-112.04149,2001,5,17,18.56,8.68
33.42011,-112.04149,2001,5,18,17.68,7.42
33.42011,-112.04149,2001,5,19,11.69,5.49
33.42011,-112.04149,2001,5,20,15.81,8.64
33.42011,-112.04149,2001,5,21,19.53,7.92
33.42011,-112.04149,2001,5,22,20.31,8.72
33.42011,-112.04149,2001,5,23,21.7,8.86
33.42011,-112.04149,2001,5,24,19.27,8.53
33.42011,-112.04149,2001,5,25,18.55,8.88
33.42011,-112.04149,2001,5,26,15.56,8.43
33.42011,-112.04149,2001,5,27,16.54,6.65
33.42011,-112.04149,2001,5,28,17.22,8.86
33.42011,-112.04149,2001,5,29,19.74,8.06
33.42011,-112.04149,2001,5,30,19.83,8.64
33.42011,-112.04149,2001,5,31,20.96,8.81
33.42011,-112.04149,2001,6,1,19.18,8.48
33.42011,-112.04149,2001,6,2,18.77,8.04
33.42011,-112.04149,2001,6,3,15.59,8.6
33.42011,-112.04149,2001,6,4,17.14,8.47
33.42011,-112.04149,2001,6,5,18.71,8.54
33.42011,-112.04149,2001,6,6,18.97,8.48
33.42011,-112.04149,2001,6,7,19.01,8.49
33.42011,-112.04149,2001,6,8,18.96,8.49
33.42011,-112.04149,2001,6,9,19.86,8.73
33.42011,-112.04149,2001,6,10,19.37,8.53
